automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,final_phase,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,max_xte_after_passing,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,recovery_time,resolution_time,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,t_clear,t_cpa,t_on_track,t_warning,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,unresolved,xte_final,xte_mean
none,none,156,1.56740815368654,both_give_way,6.236836256201391,0.0,156,10.0,0,1,close_quarters,56.4,9903.69815638206,clear,4,crossing_port,48,40.07788034136007,5.1661642161718415,0.46221419708632894,1,124.5417554816372,7.589056792257874,135,10.142022832389545,933.6001891152395,11838.928595922283,11571.211944439136,170.0,1350.0,33624.386688392755,0.3903225806451613,0.7980769230769231,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,156,56,0,0,1,1390.0,820.0,1560.0,40.0,0,5.4915660267074795,navigate,resolved_on_track,0.15806451612903225,4.6675215395718155,0,77.2428292580739,241.5491176999483
none,none,325,0.19552081438796448,both_give_way,38.380814933101405,0.0,325,10.0,1,1,close_quarters,47.68,26322.973142489296,clear,37,crossing_port,182,34.88438527784537,7.121315208778111,0.02290726034979441,1,1235.804130390509,7.458281029178903,71,27.580934661279112,4687.740942853755,24239.413344831435,23118.09549500205,1790.0,1090.0,33658.28710995538,0.3317901234567901,0.7338461538461538,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,325,11,0,0,1,1460.0,1170.0,3250.0,370.0,0,6.621146853791457,navigate,resolved_on_track,0.10802469135802469,25.137652743787967,0,70.62215509021537,461.76529856592555
none,none,204,0.03742598181797803,give_way,11.182101657747415,0.0,204,10.0,0,1,close_quarters,52.04,15279.600066356748,clear,5,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.2520889613043676,1,271.629598935749,8.683135075457734,135,2.704141417580517,1676.429556094873,17713.595553933777,17545.492639416865,630.0,1360.0,33624.386688392755,0.5246305418719212,0.7745098039215687,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,204,40,0,0,1,1410.0,840.0,2040.0,50.0,0,5.4915660267074795,navigate,resolved_on_track,0.23448275862068962,39.89761080332077,0,24.240822273352666,196.84748670467513
none,none,244,0.048088306532281425,give_way,,0.0,244,10.0,1,0,safe_passage,34.09,12614.180374854148,clear,-1,none,182,34.88438527784537,7.121315208778111,0.05255807358814615,0,480.2623580120469,9.409605411880287,71,156.26990681853778,3590.7512850066,22959.437204987902,22657.13629886352,810.0,1630.0,33658.28710995538,0.41975308641975306,0.6331967213114754,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,244,0,0,0,1,1630.0,-1,2440.0,-1,0,6.621146853791457,navigate,resolved_on_track,0.19588477366255144,60.6619080980026,0,99.70189534243251,387.4129280719263
none,none,-1,8.275223104619783,stand_on,8.132103711488961,0.0,62,10.0,0,2,domain_infringement,72.22,516.3938147833545,action,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5880266081966242,2,0.0,7.129767819752839,135,43.50016010446772,516.3938147833545,4420.4560482467605,4352.564374374404,-1,-1,33624.386688392755,0.47540983606557374,0.9919354838709677,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,62,62,1,0,0,-1,-1,-1,0.0,0,5.4915660267074795,navigate,domain_violation,0.10327868852459016,-88.99624085633391,0,146.0101970960798,240.86839565164283
none,none,315,0.17130948818016806,stand_on,29.87102981581029,0.0,315,10.0,1,1,close_quarters,46.42,21505.78348907607,clear,43,crossing_port,182,34.88438527784537,7.121315208778111,0.12058311660538937,1,367.435816469306,7.604178594733525,71,90.18945406384258,2541.1781659084577,23953.162573410602,23187.142174313733,1450.0,1270.0,33658.28710995538,0.22452229299363058,0.7428571428571429,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,315,8,0,0,1,1700.0,1240.0,3150.0,430.0,0,6.621146853791457,navigate,resolved_on_track,0.07802547770700635,52.92825630810637,0,42.568609225115054,334.15327847711205
none,none,203,0.1486695545840348,give_way,16.607771047746283,0.0,203,10.0,0,1,close_quarters,51.97,6250.099502879799,clear,2,overtaking,48,40.07788034136007,8.928356092645075,0.26115878998235914,1,108.26575108816526,9.48085162144622,135,10.015888676126416,1651.062720513333,19246.128791535826,19170.113205198144,170.0,1840.0,33624.386688392755,0.5272277227722773,0.6970443349753694,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,203,25,0,0,1,1860.0,950.0,2030.0,20.0,0,4.451103264139253,navigate,resolved_on_track,0.2113861386138614,66.33231833363217,0,101.25969679580916,82.82716930720676
none,none,268,0.025711821765321476,give_way,1.239108403064096,0.0,268,10.0,1,1,close_quarters,50.64,5529.690261650471,clear,29,overtaking,182,34.88438527784537,9.76627794661919,0.16520648339742708,1,103.34126970959183,9.088073855719308,71,4.551756365508085,1981.6649244420964,24356.03793332775,24172.14978643285,170.0,2220.0,33658.28710995538,0.4737827715355805,0.7052238805970149,overtaking,-11.838429607548731,-0.2972222140029685,6.61619030528383,3.0497662404866,19.354503663335798,23.045955670296635,268,1,0,0,1,2510.0,1320.0,2680.0,290.0,0,5.277715585999893,navigate,resolved_on_track,0.2058052434456929,96.27731941755862,0,7.105539052260232,105.39725356044978
none,none,224,0.06306563886851109,stand_on,11.672588193680378,0.0,224,10.0,0,1,close_quarters,48.62,5777.985192879782,clear,0,overtaken,48,40.07788034136007,3.6189040617633834,0.16674390551745108,1,136.97369066850658,8.037282573141907,135,52.71130652880655,1852.3585934439957,18003.51296383787,17975.059186520422,170.0,2070.0,33624.386688392755,0.452914798206278,0.6808035714285714,overtaken,14.874062965964004,-0.2527646797428006,-131.75363534859173,1.201816410216403,13.849013598640674,54.951943307324086,224,5,0,0,1,2070.0,270.0,2240.0,0.0,0,6.259575861348708,navigate,resolved_on_track,0.16165919282511212,87.44489945885088,0,5.088725169861036,39.404992134062205
none,none,213,0.004074709508813612,stand_on,,0.0,213,10.0,1,0,safe_passage,39.68,4957.393741261962,clear,-1,none,182,34.88438527784537,4.17751863107946,0.07926267316665328,0,176.55556099639153,8.37192326701302,71,35.07264797024524,3080.539003630728,17832.196558737734,17703.851307202494,170.0,1960.0,33658.28710995538,0.7193396226415094,0.6924882629107981,overtaken,-11.838429607548731,-0.2972222140029685,161.19500202861929,2.0322114198702517,19.354503663335798,23.045955670296635,213,0,0,0,1,1960.0,-1,2130.0,-1,0,7.74884998598837,navigate,resolved_on_track,0.1601415094339623,60.91012233185779,0,134.2854147169653,294.3857542593856
none,none,390,0.8822783711322927,stand_on,-0.5486458898620286,0.0,390,10.0,0,1,close_quarters,26.02,37533.58141532368,clear,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5108504073748279,1,565.5213264764135,7.903777137790039,135,714.4768581795632,750.114650401614,30824.73083738115,30387.636947256546,2680.0,1220.0,33624.386688392755,0.2069408740359897,0.732051282051282,data,,,,,,,390,23,0,0,1,1220.0,660.0,3900.0,0.0,0,3.678797507411181,navigate,resolved_on_track,0.05218508997429306,48.56648898229113,0,133.2927652083212,302.5589942384144
